Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.528,4305,242.9068416,0.02112,248.0370341,0.020900064,253.221024,0.020684654
,,0.532,4342.5,245.0227549,0.02128,250.2368391,0.021056743,255.5060118,0.020838113
,,0.536,4380,247.1386681,0.02144,252.4373212,0.021213396,257.7923741,0.020991525
,,0.54,4417.5,249.2545814,0.0216,254.6384804,0.021370026,260.0801112,0.021144889
,,0.544,4440,250.5241293,0.02176,255.9755344,0.021526631,261.4858252,0.021298205
,,0.548,4470,252.2168599,0.02192,257.7454535,0.021683211,263.3342025,0.021451474
,,0.552,4492.5,253.4864079,0.02208,259.0833878,0.021839767,264.7417085,0.021604695
,,0.556,4545,256.4486865,0.02224,262.1521052,0.021996298,267.918481,0.021757869
,,0.56,4590,258.9877824,0.0224,264.7891087,0.022152805,270.6549301,0.021910996
,,0.564,4635,261.5268783,0.02256,267.4269246,0.022309287,273.3930286,0.022064075
,,0.568,4672.5,263.6427915,0.02272,269.6327557,0.022465745,275.6902564,0.022217107
,,0.572,4702.5,265.3355221,0.02288,271.4063989,0.022622178,277.5462027,0.022370091
,,0.576,4725,266.6050701,0.02304,272.7476509,0.022778587,278.960457,0.022523028
,,0.58,4755,268.2978007,0.0232,274.5223097,0.022934971,280.8184709,0.022675918
,,0.584,4777.5,269.5673486,0.02336,275.8644419,0.023091331,282.2345191,0.022828761
,,0.588,4792.5,270.4137139,0.02352,276.7738445,0.023247667,283.2081906,0.022981556
,,0.592,4815,271.6832619,0.02368,278.1167215,0.023403978,284.6257591,0.023134304
,,0.596,4845,273.3759925,0.02384,279.8932762,0.023560264,286.4876357,0.023287005
,,0.6,4882.5,275.4919058,0.024,282.1037115,0.023716527,288.7942317,0.023439659
,,0.604,4905,276.7614537,0.02416,283.4480104,0.023872764,290.214698,0.023592265
,,0.608,4927.5,278.0310017,0.02432,284.7927156,0.024028978,291.6359935,0.023744825
,,0.612,4942.5,278.877367,0.02448,285.7042849,0.024185167,292.6140907,0.023897337
,,0.616,4965,280.1469149,0.02464,287.0497349,0.024341331,294.0369076,0.024049803
,,0.62,4980,280.9932802,0.0248,287.9619136,0.024497472,295.0162524,0.024202221
,,0.624,4995,281.8396455,0.02496,288.8743631,0.024653587,295.9961524,0.024354592
,,0.628,5002.5,282.2628282,0.02512,289.3532704,0.024809679,296.5320321,0.024506916
,,0.632,5017.5,283.1091935,0.02528,290.2661939,0.024965746,297.512906,0.024659194
,,0.636,5032.5,283.9555588,0.02544,291.1793882,0.025121789,298.4943353,0.024811424
,,0.64,5047.5,284.8019241,0.0256,292.0928533,0.025277807,299.4763202,0.024963607
,,0.644,5055,285.2251067,0.02576,292.5725055,0.025433801,300.0137364,0.025115744
,,0.648,5070,286.071472,0.02592,293.4864446,0.025589771,300.9966955,0.025267833
,,0.652,5077.5,286.4946547,0.02608,293.9664353,0.025745716,301.5348117,0.025419876
,,0.656,5085,286.9178373,0.02624,294.4465614,0.025901638,302.0732095,0.025571872
,,0.66,5092.5,287.34102,0.0264,294.9268229,0.026057534,302.6118887,0.025723822
,,0.664,5100,287.7642026,0.02656,295.4072198,0.026213407,303.1508495,0.025875724
,,0.668,5100,287.7642026,0.02672,295.4532621,0.026369255,303.2441445,0.02602758
,,0.672,5107.5,288.1873853,0.02688,295.9338622,0.026525079,303.7835312,0.026179389
,,0.676,5115,288.6105679,0.02704,296.4145977,0.026680879,304.3231996,0.026331151
,,0.68,5115,288.6105679,0.0272,296.4607754,0.026836654,304.4167906,0.026482867
,,0.684,5115,288.6105679,0.02736,296.5069531,0.026992405,304.5103888,0.026634536
,,0.688,5122.5,289.0337506,0.02752,296.9879594,0.027148132,305.0506277,0.026786158
,,0.692,5122.5,289.0337506,0.02768,297.0342048,0.027303835,305.1443776,0.026937734
,,0.696,5122.5,289.0337506,0.02784,297.0804502,0.027459513,305.2381346,0.027089263
,,0.7,5122.5,289.0337506,0.028,297.1266956,0.027615167,305.3318989,0.027240746
,,0.704,5122.5,289.0337506,0.02816,297.172941,0.027770797,305.4256704,0.027392182
